Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score
28,92593.64743581573,11794.573487838903,7,9,20.498985887797346,7,1,7,15.804087565678097,12,Good,2332.454801684581,41.05861331985759,263,Yes,1574.112191691466,8646.163648220234,1812.8812458450416,Standard
28,49320.21851768561,6878.989951056594,1,8,30.02341756995054,1,15,15,16.11624538184666,8,Bad,4475.647407463956,41.25166904328107,373,Yes,1482.3053465713174,3183.2730385579266,3418.12344995575,Standard
41,40907.31098016471,2700.000584978784,7,7,9.225542756054043,7,0,18,13.194622134997328,10,Bad,1922.9189643010907,35.563924624884436,64,Yes,356.7500038721809,941.3976066968866,563.2654338390797,Standard
53,104697.53068429441,9530.41021082241,5,4,30.793939849813874,0,16,17,23.156764389757633,4,Good,2018.4408872833192,45.20912124734419,338,No,843.6576051495877,3027.289939719451,2341.2806228702802,Standard
57,62370.31031376973,8628.426113317326,8,1,1.647475915325922,9,17,5,15.49963202185808,12,Standard,3042.016138110251,27.63274415725087,320,No,845.5158416682067,7153.535462678858,844.9220477977965,Standard
41,96734.31205513093,9616.360573708662,4,8,25.903457390546812,0,28,13,18.290863654349526,5,Standard,3764.9973771681066,47.22053814550607,348,Yes,1519.928516610497,6575.818868033289,207.15623064218315,Standard
20,76322.07736631524,11490.141301619651,7,4,32.725849519734204,2,28,2,21.712391562233567,5,Bad,3673.1043015557825,39.10327565107902,268,No,1675.3218115521108,1880.1715355357785,1691.6313514414987,Poor
39,147965.6829623775,9653.13767783569,6,3,23.344720495762115,4,24,15,0.7507530469159984,10,Standard,98.99365059078625,33.16126704477577,12,No,189.55024278274203,1117.8429910494203,753.6774174039163,Standard
19,39445.48354678355,7919.034323274792,5,9,15.92699429533523,5,28,0,17.119325476351342,2,Bad,3437.076665094266,49.465697102466706,292,No,1125.938469808406,6608.657584017464,3167.5897847691235,Standard
41,80397.81756265531,10501.74347478883,4,4,2.525954560072413,3,12,11,26.525834136851078,10,Good,2252.7702404946344,45.8604232073492,29,Yes,1523.4969938577706,6763.7683565491225,3370.3394700885515,Standard
61,108459.36142671228,8569.087613222582,7,4,32.28386965296938,6,4,13,0.5216622877630173,10,Standard,2620.4498377722875,43.16063038495099,139,No,1572.381188130317,3661.496372105707,743.4615311330167,Standard
47,71420.86090439593,5785.250096672193,5,9,16.990071571513543,6,24,18,12.155463114028834,9,Good,2808.316684714896,28.217074132068316,85,No,295.9870488608178,8428.013835290798,123.06502801713137,Standard
55,146710.9807431897,10799.00752453862,5,2,1.9858893074222324,1,23,21,27.786823506174898,6,Bad,3658.598085541327,49.21222101297193,74,Yes,1051.0102863015882,9782.052037999169,3964.052808175802,Standard
19,113845.39163050156,3829.9548382359153,1,5,24.453916425177905,1,28,18,10.594632068476134,14,Good,4156.664918041565,42.28962508477868,251,No,1715.1174127254058,2056.452234493954,10.285103642811432,Standard
38,105407.90148338409,9003.733386541604,2,4,17.382466621592776,1,26,8,13.761864726007225,12,Standard,3231.3047231611804,38.156518520871245,224,No,637.0371531705683,5770.687157060283,1719.5654459189436,Standard
50,118417.70478945904,10756.416276877948,5,9,5.227740793041965,1,5,6,29.44624179132938,6,Good,2819.536104030006,47.65397687039999,47,Yes,850.2337978235943,53.46329003939165,2472.916490228349,Standard
29,143844.3229450332,9178.823456884611,3,5,8.285241516548826,8,0,13,5.979715768517214,7,Standard,1868.8462740635093,24.865450457873877,81,Yes,1608.7170226726648,7130.543960262874,4093.2109426921643,Standard
39,138016.4248880032,8821.391900065497,2,9,3.1926831354987733,4,9,4,1.9576556737501782,4,Standard,689.3910961597377,24.170481582928304,121,No,178.63904236752458,4142.821135633178,4192.793213730703,Good
61,114157.09005643355,9402.702087754278,4,9,20.5259803500915,7,4,17,25.78267772583913,1,Standard,4792.88840822432,36.911402431722806,43,No,1718.9865797779564,1932.6922690316483,3624.6972030522775,Standard
42,117391.0130831668,6383.080107156766,4,2,22.149002294568316,4,27,8,26.053960236371054,14,Standard,2309.211461626538,21.70140789899332,146,No,622.313433461618,7522.219217643762,1235.9881126994892,Standard
66,38969.869624568906,10678.792162648773,4,9,18.19523814408511,4,0,20,14.162335040400396,12,Standard,2831.0612224869665,39.91960585601047,74,Yes,2.9006331822543086,8106.487975560806,3600.934671595854,Standard
44,33363.01258404654,3636.0829889289575,4,3,28.781472522088908,0,22,6,15.426215234318587,2,Bad,3755.365697182086,27.222234143468594,53,Yes,468.3182901127165,1111.6650117593729,1232.6959893847084,Poor
59,94217.58523974135,2837.5573680035623,3,4,30.274299924472462,5,25,8,25.07419108853508,8,Good,342.05242489914576,23.57079733829214,233,No,179.00128179101293,409.95761838033997,1073.0409586585083,Standard
45,22387.7928022702,4497.842191244372,7,1,21.931229487226304,3,29,3,22.156784943473856,14,Bad,4275.055045018657,32.28487549374434,295,No,184.76981399248825,3340.7844166911727,2735.639771152662,Poor
33,82706.32960170691,7081.562666137428,9,1,1.4337203100526386,2,10,24,7.95447006651032,5,Good,3985.1287167120367,33.97848879096691,363,No,1385.671468285183,6259.904657610356,3394.272219170313,Standard
32,47345.445389452914,6860.89885179805,5,1,24.637808295423014,5,23,16,0.5068006521455537,7,Good,3872.1429095492053,25.114545916882133,200,No,427.9526712781296,7934.19527188633,265.25882955840297,Standard
64,64982.153793829144,10116.28695560416,4,9,15.211973375291954,1,23,11,14.391004876006372,7,Good,109.91353367204194,21.246058128683966,162,Yes,1869.484725953965,5460.624966304577,300.1130056230422,Standard
68,120854.61565308429,5747.970892242182,2,8,20.228954429697158,7,6,5,25.767369782869242,13,Bad,2632.594257052071,32.42166773716441,37,No,1032.8890931826081,5807.4877630698065,3920.853434083949,Standard
61,142360.87555021024,6585.616476060841,2,5,23.06874046864207,0,17,17,26.875040300704864,4,Standard,271.34185366218423,42.7857900796529,97,Yes,920.1965159098371,7998.582217528911,4297.486254827399,Standard
69,29414.115379024395,1640.360674223654,5,5,12.90804488712061,8,20,7,28.686785912284616,0,Standard,2754.362894236456,46.225993118030644,49,Yes,868.5670364403034,5288.433742187593,3022.20458170947,Poor
20,89451.48677693786,5802.261982650861,7,9,32.18134917584101,7,19,20,26.386897128383435,5,Bad,3592.241631277612,22.92644882387299,384,Yes,1385.1752793432636,6111.5449022630055,2144.1400485344298,Standard
54,134729.353156548,8301.629445978593,9,3,5.555145469492561,0,20,14,17.40130665894295,6,Standard,609.2512512921145,35.74026389033765,10,No,904.5255250472169,5162.173399765593,4226.58239799593,Standard
68,30726.109477254766,1662.837471579218,7,3,23.831401447555272,9,9,2,13.338167977083026,8,Good,3474.415527386443,27.902089664191543,40,Yes,257.20071245038366,8804.58233367704,3644.0851638766508,Standard
24,127186.8260965884,4449.260634455559,5,7,1.1482257185237346,8,24,1,23.24549539602297,1,Standard,2247.664229926536,31.239016088085997,153,Yes,1760.344361281513,2355.1661858508887,2897.970992156343,Standard
38,66514.17562067528,3683.541772538594,6,9,32.43813758377615,1,14,23,22.194649030967895,11,Standard,4057.7646533890997,48.00325489279719,106,No,856.7906978513173,2639.9358454050935,1598.7856097438168,Poor
26,61872.31128851359,1940.8470035506764,3,6,4.825140530095111,2,3,22,16.14430290244363,12,Standard,2667.9446969015053,30.562243188369408,41,No,148.00915139900494,1279.6146160182575,989.9753082840812,Standard
56,147070.63022092215,6532.230944102644,5,2,4.226063825017538,1,15,8,2.6198211767540736,1,Good,1680.607679173244,30.960377905349805,164,Yes,1058.7319749955223,8194.667514944218,2093.3651963575785,Good
35,46111.68168209824,3408.0945788956433,8,1,12.322259523776303,7,14,7,27.782440403607563,9,Standard,1659.957817118543,26.281874772349738,258,No,1294.6937169114067,4117.772905623573,1434.1128798010577,Standard
21,110115.21230694852,9302.356166129492,1,2,13.70125372532874,1,14,3,13.668076125049865,0,Standard,4487.43260003792,48.80055254077567,211,Yes,551.1649283155172,3478.939408812438,1696.2929386723047,Standard
42,126787.29464128264,10403.24277951516,1,1,8.286202458977872,9,11,1,10.90001345748793,4,Standard,2264.3579229256616,33.6946206998085,202,No,1600.6808153476845,9813.487170871562,2578.1552765601623,Good
31,25353.85438630532,7228.644418026051,7,9,20.89413647152224,1,7,13,18.88702185506315,1,Bad,2028.7694858821048,37.11176402170289,195,Yes,1339.5516920747275,9268.033664397855,845.469784758049,Poor
67,107150.10958607358,11807.927096471987,5,8,16.059079333426762,0,7,1,20.215138835009306,2,Bad,199.3681114895779,33.595042769041996,53,Yes,1300.682338528867,9719.876821247613,4030.8834003691272,Standard
26,143701.49666619248,6230.025000441251,5,7,2.161970027396972,6,17,1,6.320637510909043,1,Standard,1821.6230255770083,27.587572302915923,147,No,841.6499057355884,1422.9899675869285,727.6473085738372,Good
43,36148.59567464772,6890.366207361613,1,3,11.868170116680222,1,29,21,25.108165344298683,10,Bad,4248.135274722124,44.31237839422961,282,No,1923.8306028225757,8912.518131481662,2404.968197104762,Poor
19,136508.769349055,11886.786416556377,9,8,28.554719061487795,9,5,6,8.698112809871336,3,Bad,3804.938282663046,20.854136776304635,310,No,548.3783358984953,3287.095993874515,3729.8566904021827,Standard
37,97320.9628590017,3931.2585776330125,1,2,24.44985218530353,4,4,11,5.600517777429501,10,Good,1104.5660139829988,40.70730290275081,243,Yes,1155.4110020309051,126.5677021186251,2425.1035384479815,Standard
45,100158.59564212163,11396.732366607504,5,2,25.645609021715934,4,1,5,12.191995585634922,2,Bad,2065.283116067516,37.82818431798057,51,Yes,618.1103149452351,3912.9833598306873,1805.1103179431939,Standard
64,99682.74273252877,1949.7943287506891,9,3,24.7359754188398,2,11,17,21.916802426923958,8,Bad,982.8983804087443,24.328419520662475,114,No,1489.609505943108,5091.963531380597,2374.4565291137546,Poor
24,58848.665223850796,6187.062347763545,4,7,11.573082727023131,2,25,3,28.963745353194103,9,Standard,4771.084084173534,24.977151329020682,273,Yes,95.58296774024288,1082.2042356740535,4243.353494370703,Standard
61,141576.23598892975,2235.0368773971904,8,1,4.38857335061038,2,3,18,24.278437931142996,11,Good,2990.5893926776785,39.77676763702608,120,No,91.78773575009846,5376.776168742563,4952.158491419788,Good
25,143155.560142035,9156.96480059325,6,8,10.263884257125264,5,22,12,28.21045133010575,1,Good,3771.773962742743,29.364163749898147,189,Yes,1621.7219390375828,8194.635841767315,3155.7164464471775,Standard
64,101289.60582781321,7888.293826740187,3,7,29.280700206295414,3,12,19,4.218174122295803,6,Good,3569.0432483838954,27.972142344970376,46,Yes,868.5363221273421,3776.5095083919396,3967.2202132435036,Standard
52,121844.9543724099,8919.65976640976,4,4,34.336007124624416,2,16,20,2.1353039659103032,14,Bad,4368.446816950418,21.77468286611838,243,No,682.3601092007115,3526.448065343022,72.44343079644334,Poor
31,99593.53816455054,5432.044199664178,2,5,17.790798501213086,1,15,22,16.731142857200137,10,Standard,4746.6388927272965,42.994492679683525,311,No,1215.053724350677,3388.1042023067744,4401.8220476228635,Standard
34,82971.79818462528,5379.560307329493,1,1,1.3298120673834355,2,8,24,8.708924491321032,13,Good,162.23086887862226,46.48015805901936,50,Yes,1403.7986877379471,9230.944458836919,4770.248799639591,Standard
53,105906.61537890258,1975.8524290893934,8,4,5.761523612563787,3,25,1,24.841649189078186,2,Good,4876.505899499762,44.59533055177201,331,Yes,402.4026936888132,487.580987901991,2875.8467087878525,Good
67,91890.18883695459,5174.421865061218,1,1,11.950739560753036,5,27,7,20.159636142069782,9,Bad,4352.7123155293975,33.98102358500111,11,Yes,370.8624828094631,4450.761419929553,3769.024310301099,Poor
57,97671.86214215092,11257.528223751624,1,1,20.671901852160293,3,0,18,29.12184491957383,7,Good,1914.7370434904815,36.01869225741687,396,Yes,1916.301495519763,2645.9945414971685,2563.7237148003746,Good
21,121898.23194445205,5481.878640394714,4,1,3.553183957380675,7,14,8,7.6437706719391265,3,Standard,4185.346212785353,27.26828581954065,48,No,1179.3286127691388,8938.070253874943,1431.0187022779485,Standard
19,82517.49808836804,10229.360915330684,6,7,33.074148156135976,2,11,3,14.573523430656971,13,Good,3682.7899116547474,25.185642182563583,377,No,780.2329545885362,960.5226358380392,4261.239859915064,Standard
23,25298.03379202146,10344.417799874307,9,7,13.412844891669625,2,4,15,15.037214322760597,3,Standard,3965.5718834484587,44.69003524674034,56,No,1602.8833893390129,4114.427666804108,2984.183559979709,Standard
59,41319.93252863464,5419.032141981956,1,4,32.02786340944398,2,22,18,7.175303845721286,8,Standard,1103.4551641952767,43.9503248163449,8,Yes,1050.3179175558344,4068.1615203108568,2896.915418957035,Poor
21,77018.93814363999,8135.881144159985,7,2,27.53774129373874,7,23,9,17.70280198464023,10,Standard,3242.818509678327,43.32079485310676,14,Yes,483.32562074916274,8883.944175470226,3295.661019206032,Poor
46,114227.45278362758,2501.4018238671156,5,3,26.684867265529757,3,17,5,13.298579582377187,2,Bad,129.6294714964541,33.90077919192905,215,Yes,413.47061128314766,2154.9344504096944,4280.015829144242,Standard
35,97126.22428032324,2588.6250977099035,8,8,21.62846571259589,0,19,15,13.401646679696208,6,Bad,4241.145662764244,45.935232825336776,370,Yes,793.7185323396434,6448.954103016111,3659.5306288548218,Standard
43,104538.24416354901,2010.9054684479897,7,8,22.310649779762716,1,1,9,10.882099439174509,0,Standard,4755.214862378945,47.78696208052444,245,No,1719.7917205197593,1344.0612688778908,1055.6209710787261,Standard
61,82306.26071491736,7600.658480438649,4,6,22.692109997352436,9,3,12,0.5078805727660518,6,Standard,3310.6172031764395,29.850330339603342,54,No,122.89583208851784,9539.757140805426,2334.1177220365976,Standard
51,100046.46285249156,5973.745265074019,4,9,22.37652715886979,1,14,8,15.662857107443669,9,Good,2563.3482658800103,26.740834753410674,273,No,437.0520015095263,5930.149592722859,4901.491659931031,Standard
27,62772.26691590608,7254.339744974521,6,9,19.826759867544283,2,5,6,10.057435071009934,10,Good,3628.655446815356,33.92789092327949,389,Yes,1786.3036377051828,6262.567303206703,2772.803568813873,Good
53,81123.73705056646,6971.268500338072,6,4,34.538076628418224,5,21,3,0.039596069529890254,1,Good,1631.8064411230848,25.379790700237777,131,No,243.469137938501,4337.734016604722,4691.226767353993,Standard
31,116756.27852734423,5177.131406452668,9,1,25.897879292473668,7,11,18,9.23831122985796,11,Bad,3131.93897906269,46.52008655419691,9,No,1259.2514365283366,3422.8271266632228,4066.8474315652797,Poor
48,133338.26126650575,8613.470855646465,5,1,27.41617720534572,0,28,3,8.35884999269271,13,Good,3594.8646965322214,30.139715002333084,212,No,427.0227362420502,2126.764294948763,3330.117209043794,Standard
65,76375.19341433056,9464.269749622103,8,5,30.66373571284492,8,17,18,11.803444596709074,13,Standard,713.4039074059378,37.2851535962173,122,No,1211.7336950237766,6039.877538322589,1746.8260132987762,Poor
32,25676.015501956954,1653.596718215595,5,2,8.331751932678872,0,26,18,3.9555596893019085,5,Standard,700.3400274829619,37.84158487721375,114,Yes,766.2083336884642,9545.61745348238,1521.596737627195,Poor
25,41017.430739084346,3676.0441475732223,2,6,3.849341409232067,9,19,11,15.230514739052532,14,Bad,3580.6908885715343,35.44963641037689,20,Yes,203.35379286198375,3597.9095409240304,3217.1053264879397,Poor
31,22711.948107899952,8988.976614875037,6,7,17.418410844352355,1,3,12,20.7732105755439,12,Bad,2158.91247082748,24.69577128269295,339,No,1164.9501351082129,8831.568886620542,2162.806204232054,Standard
40,104924.1925008529,5559.511812655259,9,1,18.47874365105529,2,29,24,18.905567071637172,8,Good,4446.0074923045,49.73001920280114,21,No,1366.085494169172,1487.7631284724969,3993.7681140836357,Poor
57,63200.90129616416,8456.081442886887,3,6,29.192180518297203,6,0,3,24.11264842707572,5,Bad,1559.6944107841882,25.17809687723389,208,No,1360.5452379316057,9361.260208818008,3802.2836977009792,Standard
38,90522.22264351777,5143.107927212864,1,8,16.088641695599414,8,14,24,13.560248639612434,2,Standard,212.15368624322272,42.545220817127294,33,No,1274.068818145419,3504.8628389807654,1560.6524336925715,Poor
33,84125.99008189395,5602.929099461189,1,5,20.409002868506633,2,29,9,15.572751910191847,0,Standard,3249.380146157598,43.740886221654776,133,No,1000.4495618710915,3797.2721159334565,3513.64391530881,Standard
62,30598.443641815473,3166.1281737416916,3,7,18.920411909457584,7,17,20,24.312058225769498,11,Bad,3421.1961330129034,24.354911250838178,191,Yes,1038.9452337186513,4628.422570343282,2472.7509504859204,Poor
35,72423.97694609813,4211.42570649468,5,6,2.298894647751296,8,13,6,12.831035124577156,11,Standard,2767.9580448935517,47.99490534649641,26,No,1271.2802196159191,7182.442699476503,1616.4605040699853,Standard
64,48672.94623990203,7856.8234538296665,3,4,21.917306484295075,9,2,4,21.047980496987908,14,Bad,3416.66322847299,34.63276287883185,364,No,1380.518723493282,7196.534336890352,2064.8329638232,Standard
41,74391.97252679485,6048.212668809247,9,7,29.153471716324574,6,28,16,13.038071061539755,3,Standard,2618.7717223719746,38.866488757030595,89,No,1309.7534776627701,4795.885847196652,4476.759336061309,Poor
43,46465.176444491546,9630.178170918249,8,9,6.3550186345773305,3,14,17,12.532085835346878,3,Good,3463.164080495228,39.265581681043884,92,Yes,1173.8911298269036,5231.528993139359,1797.5884606127024,Standard
42,129258.81281600136,10452.142026852598,3,7,21.207278953504257,3,26,10,22.80616873587481,12,Bad,219.68703277597257,35.14865376776902,33,Yes,311.6779696082368,300.1048777414117,1436.99636659729,Poor
62,42645.133755172974,7187.287391275979,9,5,21.18275851117809,3,4,14,5.245107463986335,7,Bad,1841.9868511051075,24.26066132363461,238,Yes,421.2330769857235,3042.967015583257,1759.0361035506892,Standard
58,144901.471693307,9461.80656658862,6,7,6.582288777916197,5,26,20,10.157579158247207,9,Bad,1054.084589768423,42.552600736738974,18,Yes,520.4480420706967,3460.170742306095,1073.0921810434586,Standard
46,74067.9575991023,4722.497388542985,7,3,5.1977615068450245,3,23,21,6.725168302407053,9,Standard,496.63069305813656,37.45357505370477,274,Yes,1839.3233141750045,5587.272687257594,2723.1749369816434,Standard
32,130011.88796247641,5857.1977617008215,4,2,34.321766061200485,4,21,6,10.773298289027913,13,Good,1170.4631808303595,23.560418457721504,289,No,1518.790183593933,5582.997673713045,737.1821816126611,Standard
62,101739.42636677287,8984.165600276725,4,5,14.386451768203276,8,2,17,6.911244670980721,12,Bad,956.5530901589409,41.00965905900826,27,No,1105.7336390737564,7098.997977278732,4087.218932184582,Standard
18,115595.53882654784,5555.225924578822,2,4,8.732338776599995,6,21,24,17.38216893259964,6,Standard,4865.656941807986,41.08289782419472,305,Yes,504.11385708809365,7170.272962180809,1127.9012362281305,Standard
42,119804.10544868144,7679.301819169383,5,5,6.825034511448749,7,6,5,23.945124078535358,9,Bad,1432.7295885923136,36.454593382877455,399,Yes,221.78304648834234,2352.10724212083,2990.2751376982283,Good
24,85629.83464609232,3446.4141803663706,8,8,23.69845826182999,4,5,17,23.598391836537054,6,Standard,1154.7948507357974,22.716464308747042,108,Yes,1797.5184519599495,7701.871511048247,625.1274945994678,Standard
26,90629.0680372275,7797.598807190228,7,4,21.72114010912748,4,25,15,10.935028936463773,6,Good,4174.372531344964,30.57932093410188,226,No,1785.3320316458341,196.0356804628205,4892.265741071631,Standard
41,86819.46281513425,10545.893925882383,7,9,22.880772181572194,6,21,1,29.662812176827853,11,Standard,2095.581086344195,21.52772322880103,324,Yes,221.39119139138307,7161.618846067205,2272.8772944682355,Standard
18,96447.5891517103,10620.71621814597,6,7,3.9922049353893767,7,0,18,17.815630941174025,1,Standard,2107.3272422465457,34.32788056479174,355,Yes,1594.433332192992,1020.611035194231,4110.856703794072,Good
61,23821.27794834595,9105.616266460165,3,7,31.380175838946855,8,18,0,11.982009053348843,8,Bad,2217.952331900759,47.1934139568213,19,Yes,893.2901386198253,7296.48208421219,3843.2391782499185,Poor
25,71416.97208037198,9330.410480299324,5,8,14.235057491507641,1,6,24,25.066178377242764,5,Standard,2082.672530603073,20.067589478387713,223,No,647.9338656610803,5271.180905684043,3568.465235728394,Standard
41,98804.5327629523,7358.238174082358,1,6,11.654559818632169,2,3,10,21.896220379279224,1,Bad,1632.827274794242,27.999159591272367,281,Yes,1478.2090724174143,4372.545006830921,4136.8243560230485,Standard
28,97704.06348326236,7639.01494674116,7,8,16.720289206423132,1,11,19,22.478260104723134,0,Standard,1431.697212773949,43.99577303444255,104,No,1228.659082121461,6906.66389761429,502.3180432985291,Standard
68,123084.2922987321,2903.331104810439,9,3,14.262246235419362,9,19,4,5.884180492016148,10,Good,4409.798382427206,20.295825014648194,332,No,1560.0602151866747,363.7083374723271,3392.4859873598107,Good
34,105151.21404817411,6160.521478423661,1,1,30.36161810673096,6,22,15,14.049729221056653,0,Standard,808.536730676781,20.3052031113802,332,No,148.6577212658742,2234.7032567557835,1329.1361763689058,Standard
25,148977.3311242874,6233.15098080682,2,6,32.594873156728326,1,24,22,25.854843924738084,0,Bad,905.3117646146964,38.32455758283197,362,No,637.1740399149128,6164.40142467654,3929.358320332949,Standard
52,56901.08871912385,11564.227274511271,3,1,11.31740935928661,1,29,0,15.121140228862718,3,Standard,2858.595502125212,43.67599270395753,289,No,638.6337008334715,8472.15406630818,4784.343799239444,Standard
52,66689.63385661009,6026.4120575445395,3,9,30.373817453638463,1,26,18,20.50358230263151,3,Standard,1718.2928983136753,43.29516252400012,37,Yes,659.506184575531,3811.0763694511697,4507.447649213479,Poor
50,69900.12974281351,7268.097771478955,8,2,27.571786404124282,3,28,13,17.638011991027938,13,Good,2107.646824235136,43.387340622478604,348,No,1004.9597452876109,2587.614726335571,574.7611123683305,Standard
22,80555.66491263232,7099.139692430576,7,2,32.6474608597219,0,28,2,25.270703631551463,11,Bad,4032.733039453415,30.83019034452997,380,No,566.0276061618947,5187.364357889943,1847.762103364105,Standard
59,128679.74829155723,8185.998028965435,6,7,9.355510614320186,1,17,1,8.53682519284808,8,Good,4518.155301885527,46.48172432823377,244,No,888.7672201750394,6223.1525238684135,1821.6137859879989,Good
56,50652.97221469728,9356.444728984907,4,2,20.61661110411329,2,8,23,17.264258336590945,12,Standard,3952.7683977827355,20.385068041902105,43,Yes,735.5551862308316,4201.030314057464,611.4813317976531,Poor
58,120880.02691460583,3862.939699794157,9,8,10.334515881175118,6,18,4,3.6970400402941195,11,Good,1174.6413164537578,29.36566210316901,126,No,1470.5920960410226,8767.10682659755,490.63026673413725,Standard
45,72690.32380114665,7051.606400533575,1,6,29.019212676468722,9,21,16,20.706323300984035,11,Standard,4899.856448045251,30.115630845061695,9,No,1207.0015913501002,5234.387088600134,1924.4506748459085,Poor
24,98241.1998760611,10172.135926818319,2,7,1.1810224794161848,0,3,17,21.95903515058136,0,Standard,1815.8825040804793,24.967133774586234,14,No,1307.2588646346308,358.23587570585016,4960.357752482557,Standard
26,102230.2693194198,6362.70449529387,4,7,20.203851538137467,5,0,0,1.2851196356699524,2,Good,845.335305823065,30.08677918976298,131,Yes,421.16778816528887,2230.5395470619037,2844.713255331376,Standard
25,68470.32283456148,4423.804236922517,3,6,12.532916663245212,2,8,14,20.27372890883955,2,Good,2497.4835273402,37.57652390156327,325,No,651.0043306537788,4506.470309178146,3108.9081430212814,Standard
29,86639.97667675467,8374.44529124114,1,9,11.971246040645887,2,26,21,12.440704624973591,7,Standard,3626.428848174736,35.60837938092148,184,No,42.33089522414857,6977.255190169333,2355.0945500934117,Standard
51,73694.05270420061,10149.55765589079,5,9,22.92681501140718,3,14,8,3.7229062832904702,1,Good,416.3544065403701,29.582820757536197,282,No,216.74941458633978,2197.5224379258884,3311.652761520114,Standard
50,28987.26220426053,2162.9730757376087,7,7,29.950471276675792,3,21,22,12.597226430954029,5,Good,3171.434573105239,42.479825410473666,383,No,530.1084639777747,9762.57439717421,4783.310403723848,Standard
65,76831.50054618745,9656.300075775885,2,9,21.712643307373092,6,7,4,5.826987890867451,10,Standard,4290.389617132982,41.44371735313422,53,No,130.92744260404208,3185.582581880835,2943.489768071959,Standard
40,32661.141031961783,10127.303296098598,5,3,30.007881273988563,2,14,12,12.466785963699497,3,Bad,1308.9074134604384,28.42089431241321,41,No,1205.2648007094049,5324.8020686058835,325.1922986059663,Poor
41,72652.7038804418,6345.990739680371,6,3,9.996301803955019,7,14,18,11.530170838755831,12,Good,3465.6160608835376,29.696851783337525,338,No,1996.2602318476506,189.66384731041174,2464.452845840993,Standard
54,97079.39197813164,11824.709396593908,7,1,18.663063062009357,7,17,23,22.151749108081724,9,Good,1999.543149802203,28.62560595896383,358,Yes,201.63042813077703,8848.907214308043,4963.756366259756,Standard
52,95323.9369146551,9760.437577426746,1,5,16.318242328280583,6,6,9,23.226466744990763,5,Bad,2070.6757156979083,23.865534995336468,21,Yes,1642.4604253385303,7888.346535251834,1937.0136029713165,Standard
61,106140.76627108165,9623.45693140449,7,4,1.3959265831052714,1,21,19,18.2108596315364,12,Good,1404.0701560445639,42.58344928882565,377,Yes,237.63249453029434,1954.5800429559267,2969.406186072361,Good
57,32383.996034101416,9352.305031326754,4,2,19.931612866785166,4,17,24,0.6806052654734263,4,Standard,3121.9689821994766,21.388295315457473,295,No,1339.828037592872,9332.36691239843,533.183817144085,Poor
